Year_Month,Index_1,RANK,NAME,PrevBasho,PrevRank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,JW,JL,Index_2
186904,16,M5w,Asahidake,0-0-10,M3w,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
186904,17,M6e,Tagonoura,1-4-2-3d,M6w,,,,,X,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
186904,18,M6w,Onigasaki,5-1-2-2d,M7w,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
186904,19,M7e,Sanoyama,3-4-2d,J1w,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
186904,20,M7w,Onoue,3-3-2d,J1e,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
186911,1,O1e,Shiranui,6-2-2,O1e,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
186911,2,O1w,Kimenzan,7-2-1,O1w,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
186911,3,S1e,Masuizan,8-0-1-1d,S1e,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
186911,4,S1w,Chitosegawa,3-3-3-1d,K1w,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
186911,5,K1e,Omatoi,4-4-2,K1e,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
186911,6,K1w,Azumazeki,4-5-1,M1w,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
186911,7,M1e,Zogabana,8-1-1,M2e,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
186911,8,M1w,Ryogoku,3-5-2,M2w,,,,,,,,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
186911,9,M2e,Aioi,5-1-3-1d,M3e,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
186911,10,M2w,Koyanagi,6-3-1,M4w,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
186911,11,M3e,Banjaku,4-4-1-1d,M4e,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
186911,12,M3w,Asahidake,4-3-2-1d,M5w,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
186911,13,M4e,Kunimiyama,5-4-1,M5e,,,,,,,,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
186911,14,M4w,Tsurugataki,2-7-1,M3w,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
186911,15,M5e,Tagonoura,2-4-1-3d,M6e,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
186911,16,M5w,Onigasaki,2-3-1-4d,M6w,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
186911,17,M6e,Onoue,1-6-1-2d,M7w,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
186911,18,M6w,Sanoyama,5-2-1-2d,M7e,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
186911,19,M7e,Takamiyama,6-2-1a,J2e,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
186911,20,M7w,Shachinoumi,6-3,J1w,,,,,,,,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
187004,1,O1e,Sakaigawa,7-0-1-2d,S1e,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
187004,2,O1w,Kimenzan,6-0-2-2d,O1w,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
187004,3,S1e,Zogabana,5-0-2-3d,M1e,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
187004,4,S1w,Azumazeki,3-2-3-2d,K1w,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
187004,5,K1e,Omatoi,2-3-5,K1e,,,,,X,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
187004,6,K1w,Ryogoku,3-4-1-2d,M1w,,,,,,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
187004,7,M1e,Aioi,6-3-1,M2e,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
187004,8,M1w,Koyanagi,5-3-1-1d,M2w,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
187004,9,M2e,Banjaku,4-3-2-1d,M3e,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
187004,10,M2w,Asahidake,4-3-2-1d,M3w,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
187004,11,M3e,Kunimiyama,2-4-4,M4e,,,,,,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
187004,12,M3w,Onigasaki,4-5-1,M5w,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
187004,13,M4e,Takamiyama,6-1-1-2d,M7e,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
187004,14,M4w,Sanoyama,6-3-1,M6w,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
187004,15,M5e,Tagonoura,1-6-1-2d,M5e,,,,,X,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
187004,16,M5w,Tsurugataki,0-0-10,M4w,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
187004,17,M6e,Onoue,2-6-1-1d,M6e,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
187004,18,M6w,Shachinoumi,2-1-7,M7w,,,,,,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
187004,19,M7e,Kabutoyama,6-2,J1e,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
187004,20,M7w,Minoshima,3-2-1d,J1w,,,,,X,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
